time,x,y,z
0.005,0,0.0897548,0
0.01,0,0.0892645,0
0.02,0,0.0875483,0
0.03,0,0.0848515,0
0.04,0,0.081174,0
0.055,1.44811e-19,0.0814805,3.59056e-19
0.065,2.89622e-19,0.0830127,7.18112e-19
0.075,4.34432e-19,0.0835644,1.07717e-18
0.08,5.06838e-19,0.0834724,1.2567e-18
0.09,6.51649e-19,0.082553,1.61575e-18
0.1,7.96459e-19,0.080653,1.97481e-18
0.11,2.7965e-19,0.0802144,1.86116e-18
0.12,-8.98781e-19,0.0812372,1.2748e-18
0.13,-2.07721e-18,0.0812793,6.88449e-19
0.14,-3.25564e-18,0.0803408,1.02094e-19
0.15,-4.66261e-12,0.0801125,-6.94784e-14
0.16,-1.39878e-11,0.0805944,-2.08435e-13
0.17,-2.3313e-11,0.0800957,-3.47391e-13
0.18,-3.04876e-11,0.0794836,-4.54293e-13
0.19,-3.18875e-11,0.0794936,-4.7515e-13
0.2,-3.32604e-11,0.0795036,-4.95605e-13
0.21,-3.39374e-11,0.0795135,-5.0569e-13
0.22,-3.45744e-11,0.0795232,-5.15179e-13
0.23,-3.51727e-11,0.0795327,-5.24093e-13
0.24,-3.57335e-11,0.079542,-5.32449e-13
0.25,-3.62581e-11,0.0795511,-5.40266e-13
0.26,-3.67476e-11,0.07956,-5.47564e-13
0.27,-3.72034e-11,0.0795688,-5.54358e-13
0.28,-3.76266e-11,0.0795773,-5.60667e-13
0.29,-3.80181e-11,0.0795858,-5.66506e-13
0.3,-3.83792e-11,0.079594,-5.71892e-13
0.31,-3.87109e-11,0.0796021,-5.7684e-13
0.32,-3.90142e-11,0.07961,-5.81365e-13
0.33,-3.929e-11,0.0796178,-5.85483e-13
0.34,-3.95395e-11,0.0796254,-5.89206e-13
0.35,-3.97634e-11,0.0796328,-5.92551e-13
0.36,-3.99628e-11,0.0796401,-5.9553e-13
0.37,-4.01385e-11,0.0796473,-5.98155e-13
0.38,-4.02913e-11,0.0796543,-6.00441e-13
0.39,-4.04221e-11,0.0796612,-6.02399e-13
0.4,-4.05318e-11,0.0796679,-6.04041e-13
0.41,-4.0621e-11,0.0796745,-6.0538e-13
0.42,-4.06906e-11,0.079681,-6.06426e-13
0.43,-4.07414e-11,0.0796874,-6.0719e-13
0.44,-4.07739e-11,0.0796936,-6.07683e-13
0.45,-4.0789e-11,0.0796997,-6.07916e-13
0.46,-4.07873e-11,0.0797057,-6.079e-13
0.47,-4.07695e-11,0.0797115,-6.07643e-13
0.48,-4.07362e-11,0.0797172,-6.07156e-13
0.49,-4.0688e-11,0.0797229,-6.06446e-13
0.5,-4.06255e-11,0.0797284,-6.05524e-13
0.51,-4.05494e-11,0.0797338,-6.04397e-13
0.52,-4.04602e-11,0.0797391,-6.03076e-13
0.53,-4.03584e-11,0.0797443,-6.01567e-13
0.54,-4.02445e-11,0.0797494,-5.99878e-13
0.55,-4.01192e-11,0.0797544,-5.98018e-13
0.56,-3.99829e-11,0.0797592,-5.95994e-13
0.57,-3.9836e-11,0.079764,-5.93813e-13
0.58,-3.96791e-11,0.0797687,-5.91481e-13
0.59,-3.95126e-11,0.0797733,-5.89007e-13
0.6,-3.93369e-11,0.0797778,-5.86396e-13
0.61,-3.91526e-11,0.0797823,-5.83655e-13
0.62,-3.89599e-11,0.0797866,-5.80789e-13
0.63,-3.87593e-11,0.0797908,-5.77806e-13
0.64,-3.85512e-11,0.079795,-5.7471e-13
0.65,-3.8336e-11,0.0797991,-5.71509e-13
0.66,-3.8114e-11,0.0798031,-5.68206e-13
0.67,-3.78856e-11,0.079807,-5.64807e-13
0.68,-3.76511e-11,0.0798108,-5.61318e-13
0.69,-3.74109e-11,0.0798146,-5.57742e-13
0.7,-3.71652e-11,0.0798183,-5.54086e-13
0.71,-3.69145e-11,0.0798219,-5.50354e-13
0.72,-3.66589e-11,0.0798254,-5.4655e-13
0.73,-3.63988e-11,0.0798289,-5.42679e-13
0.74,-3.61345e-11,0.0798323,-5.38744e-13
0.75,-3.58662e-11,0.0798357,-5.34749e-13
0.76,-3.55942e-11,0.0798389,-5.30699e-13
0.77,-3.53188e-11,0.0798421,-5.26598e-13
0.78,-3.50401e-11,0.0798453,-5.22449e-13
0.79,-3.47585e-11,0.0798484,-5.18255e-13
0.8,-3.44741e-11,0.0798514,-5.14019e-13
0.81,-3.41872e-11,0.0798543,-5.09747e-13
0.82,-3.3898e-11,0.0798572,-5.0544e-13
0.83,-3.36067e-11,0.0798601,-5.01101e-13
0.84,-3.33134e-11,0.0798629,-4.96733e-13
0.85,-3.30185e-11,0.0798656,-4.9234e-13
0.86,-3.2722e-11,0.0798683,-4.87924e-13
0.87,-3.24242e-11,0.0798709,-4.83488e-13
0.88,-3.21252e-11,0.0798734,-4.79033e-13
0.89,-3.18252e-11,0.079876,-4.74564e-13
0.9,-3.15243e-11,0.0798784,-4.70081e-13
0.91,-3.12227e-11,0.0798808,-4.65587e-13
0.92,-3.09206e-11,0.0798832,-4.61086e-13
0.93,-3.0618e-11,0.0798855,-4.56578e-13
0.94,-3.03151e-11,0.0798878,-4.52065e-13
0.95,-3.00121e-11,0.0798901,-4.4755e-13
0.96,-2.97091e-11,0.0798922,-4.43035e-13
0.97,-2.94061e-11,0.0798944,-4.38521e-13
0.98,-2.91034e-11,0.0798965,-4.3401e-13
0.99,-2.8801e-11,0.0798985,-4.29503e-13
1,-2.8499e-11,0.0799006,-4.25003e-13
